l_english:
# Focuses
Our_Empire:0 "Our Empire"
Tactical_Genius:0 ""
Tactical_Genius_desc:0 ""
Just_As_Planned:0 ""
Just_As_Planned_desc:0 ""
Cathing_Up_In_Arms:0 ""
Cathing_Up_In_Arms_desc:0 ""
Science_Of_War:0 ""
Science_Of_War_desc:0 ""
Big_Metal_Box:0 ""
Big_Metal_Box_desc:0 ""
Maintaining_Discipline:0 ""
Maintaining_Discipline_desc:0 ""
All_for_the_Allfather:0 ""
All_for_the_Allfather_desc:0 ""
True_Order:0 ""
True_Order_desc:0 ""
Unmanned_Bombing_Runs:0 ""
Unmanned_Bombing_Runs_desc:0 ""
Rockets_are_the_Future!:0 ""
Rockets_are_the_Future!_desc:0 ""
A_Rabbithole:0 ""
A_Rabbithole_desc:0 ""
Rockets_of_the_future:0 ""
Rockets_of_the_future_desc:0 ""
The_Supers:0 ""
The_Supers_desc:0 ""
Tanks,_but_better:0 ""
Tanks,_but_better_desc:0 ""
Infantry_rockets:0 ""
Infantry_rockets_desc:0 ""
Red_Liberation:0 ""
Red_Liberation_desc:0 ""
Spreading_Our_Truth:0 ""
Spreading_Our_Truth_desc:0 ""
Our_South:0 ""
Our_South_desc:0 ""
Our_West:0 ""
Our_West_desc:0 ""
Our_North:0 ""
Our_North_desc:0 ""
Gather_The_Reaches:0 ""
Gather_The_Reaches_desc:0 ""
Steal_From_Equestria:0 ""
Steal_From_Equestria_desc:0 ""
Strike_The_Changelings:0 ""
Strike_The_Changelings_desc:0 ""
The_Frontier:0 ""
The_Frontier_desc:0 ""
The_Bears:0 ""
The_Bears_desc:0 ""
The_Yaks:0 ""
The_Yaks_desc:0 ""
The_Penguins:0 ""
The_Penguins_desc:0 ""
The_Powers_Clash:0 ""
The_Powers_Clash_desc:0 ""
Hollow_The_Mountains:0 ""
Hollow_The_Mountains_desc:0 ""
New_Dockyards:0 ""
New_Dockyards_desc:0 ""
Our_Riverlands:0 ""
Our_Riverlands_desc:0 ""
Crushing_The_Talons_Might:0 ""
Crushing_The_Talons_Might_desc:0 ""
Our_Tech:0 ""
Our_Tech_desc:0 ""
Our_Metropolis:0 ""
Our_Metropolis_desc:0 ""
Our_University:0 ""
Our_University_desc:0 ""
A_Motivated_Worker:0 ""
A_Motivated_Worker:0 ""
A_Streamlined_Process:0 ""
A_Streamlined_Process_desc:0 ""
Less_Is_More:0 ""
Less_Is_More_desc:0 ""
Work_At_Home:0 ""
Work_At_Home_desc:0 ""
Every_Inch:0 ""
Every_Inch_desc:0 ""
Armoured_Factories:0 ""
Armoured_Factories_desc:0 ""
An_Industrial_Powerhouse:0 ""
An_Industrial_Powerhouse_desc:0 ""
Close_Air_Support:0 ""
Close_Air_Support_desc:0 ""
Our_Aces:0 ""
Our_Aces_desc:0 ""
The_Future_of_Aviation:0 ""
The_Future_of_Aviation_desc:0 ""
Hellmarch_Doctrine:0 ""
Hellmarch_Doctrine_desc:0 ""
A_Gun_For_Every_(other)_Stallion:0 ""
A_Gun_For_Every_(other)_Stallion_desc:0 ""














